Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172994227,338.4,C21H22O4,CC(C)CCC1=CC2=C(C=C1OC)OC(=CC2=O)C3=CC=C(C=C3)O,2-(4-hydroxyphenyl)-7-methoxy-6-(3-methylbutyl)chromen-4-one,0,0,C21H22O5,10338211.0,CCCCCCCCCCCOCOCCCOCCCCCCO,1,141457688
172992610,192.21,C11H12O3,C1COCC(C1=O)C2=CC=C(C=C2)O,3-(4-hydroxyphenyl)oxan-4-one,0,0,C11H12O4,69197308.0,CCOCCCOCCCCCCO,1,58473006
172914199,308.3,C19H16O4,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)O)O)C3=CC=CC=C3,"6-(4-hydroxyphenyl)-4-methoxy-3-phenylbenzene-1,2-diol",0,0,C19H16O5,67910037.0,COCCCCCCCCCCCCOOOCCCCCC,1,145976670
172897956,282.3,C18H18O3,COC1=C(C=C(C=C1)/C=C/[C@@H](C=C)C2=CC=C(C=C2)O)O,"5-[(1E,3R)-3-(4-hydroxyphenyl)penta-1,4-dienyl]-2-methoxyphenol",0,0,C18H18O4,9948187.0,COCCCCCCCCCCCCCCCCCOO,1,129883590
172883453,338.4,C20H18O5,CC1(C(=CC2=CC3=C(C=C2O1)OC(CC3=O)C4=CC=C(C=C4)O)O)C,"3-hydroxy-8-(4-hydroxyphenyl)-2,2-dimethyl-7,8-dihydropyrano[3,2-g]chromen-6-one",0,0,C20H18O6,191796.0,CCCCCCCCCCOOCCCOCCCCCCOOC,4,44257302;21147597;14604081;14604077
172883251,300.4,C19H24O3,C[C@]12CCC(C1(C)C)CC2OC(=O)/C=C/C3=CC=C(C=C3)O,"[(1S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",0,0,C19H24O4,122821.0,CCCCCCCCCCOCOCCCCCCCCO,11,162912756;162912755;145371443;130440848;130431575;101027453;70152895;44452404;18406287;17754957;10245230
45359773,290.4,C18H26O3,CC(C)(C(CCC(C)(C=C)/C=C/C1=CC=C(C=C1)O)O)O,"(E)-6-ethenyl-8-(4-hydroxyphenyl)-2,6-dimethyloct-7-ene-2,3-diol",0,0,C18H26O4,20606373.0,CCCCCCCCCCCCCCCCCCOOO,6,171836160;144642162;123549441;118483064;118483063;90211673
172878354,392.5,C25H28O4,CC(=CCCC(=CCC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)O)C)C,"(E)-1-[3-(3,7-dimethylocta-2,6-dienyl)-2,4-dihydroxyphenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",0,0,C25H28O5,67841002.0,CCCCCCCCCCCCCCOCOCCCCCCCCOOCC,5,78079692;123385592;71473501;54453233;11742190
172871432,458.5,C28H26O6,C1=CC(=CC(=C1)O)CCC2=CC(=CC(=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O,"4-[3-hydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,3,172871124;172871429;172871316
172871431,458.5,C28H26O6,C1=CC(=CC=C1CCC2=CC(=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O)O,"4-[2-hydroxy-4-[2-(4-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCCCCCCCCCOCCCCCCCCCCCCCCOOOOO,2,172871429;172871316
172871428,458.5,C28H26O6,C1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2)O)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O,"4-[2-hydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCOCCCCCCCCOOCCCCCCCCCCCCCCOOO,3,172871366;172871364;172870811
172871426,458.5,C28H26O6,C1=CC(=CC=C1CCC2=CC(=C(C=C2O)O)OC3=CC=C(C=C3)CCC4=CC(=CC(=C4)O)O)O,"4-[4-[2-(3,5-dihydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCCCCCCCCCOOOCCCCCCCCCCCCCCOOO,2,172871366;172871364
172871425,458.5,C28H26O6,C1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O,"4-[2-hydroxy-4-[2-(3-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,3,172871124;172871429;172871316
172871424,458.5,C28H26O6,C1=CC(=CC=C1CCC2=CC(=C(C=C2O)O)OC3=CC=C(C=C3)CCC4=CC(=C(C=C4)O)O)O,"4-[4-[2-(3,4-dihydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCCCCCCCCCOOOCCCCCCCCCCCCCCOOO,2,172871366;172871364
172871422,442.5,C28H26O5,C1=CC(=CC=C1CCC2=CC=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O,"4-[2-(4-hydroxyphenyl)ethyl]-6-[4-[2-(4-hydroxyphenyl)ethyl]phenoxy]benzene-1,3-diol",0,0,C28H26O6,10253626.0,CCCCCCCCCCCCCCOCCCCCCCCCCCCCCOOOO,8,172870976;172870974;172871139;172871134;172870976;172870974;172870517;100953276
172871421,442.5,C28H26O5,C1=CC(=CC(=C1)O)CCC2=CC=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O,"4-[2-(4-hydroxyphenyl)ethyl]-6-[4-[2-(3-hydroxyphenyl)ethyl]phenoxy]benzene-1,3-diol",0,0,C28H26O6,10253626.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOO,10,172871008;172871202;172871139;172871135;172871134;172870894;172870891;172870517;100953276;10253626
